SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
NCLA1123,PUREGEAR CAR CHARGER EXTREME CAR CHARGER,PUREGEAR CHARGEUR DE VOITURE RAPIDE,ND,03 - Charging,Car Adapter,USB-A,PureGear,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,60712PG,8.16958E+11,CAD,$34.99,$14.99
NCLA1124,PUREGEAR CAR CHARGER 4 AMP 2 PORT,PUREGEAR CHARGEUR DE VOITURE 4 AMPS,ND,03 - Charging,Car Adapter,USB-A,PureGear,Universal,Universal,,PUREGEAR INTERNATIONAL,60715PG,8.16958E+11,USD,$34.99,$34.99
NCLA1125,BELKIN CAR CHARGER LIGHTNING IPHONE 5/5S/5SE,BELKIN CHARGEUR DE VOITURE LIGHTNING,ND,03 - Charging,Car Adapter,Corded Lightning,Belkin,Universal,iPhone 5/5S/SE,,MICROCEL TECHNICAL SERVICES,F8J074BTBLK,7.22869E+11,CAD,$34.99,$34.99
NCLA1126,JUST MOBILE DUO CARCHARGER LIGHTNING 2 1,JM DUO CAR CHARGEUR CÂBLE LIGHTNING 2A,ND,03 - Charging,Car Adapter,Corded Lightning,Just Mobile,Universal,Universal,,CESIUM TELCOM INC,CC158/A,8.85335E+11,CAD,$39.99,$24.99
NCLA1127,GRIFFIN ITRIP AUX BLUETOOTH BLACK,ITRIP AUX BLUETOOTH BLACK,ND,04 - Audio,Adapter & Accessory,Auxilary,Griffin,Universal,Universal,Black,CESIUM TELCOM INC,GC39982,6.85387E+11,CAD,$64.99,$39.99
NCLA1128,JUST MOBILE DUALUSB CARCHARGER MICRO 2A,JM DUAL USB CAR CHARGER CÂBLE MICROU 2A,ND,03 - Charging,Car Adapter,Corded Micro USB,Just Mobile,Universal,Universal,,CESIUM TELCOM INC,CC-168,8.85335E+11,CAD,$29.99,$19.99
NCLA1129,ISTORE™ SLIM CAR CHARGER - WHITE,ISTORE CHARGEUR UNIVERSALE POUR LAUTO,ND,03 - Charging,Car Adapter,USB-A,iStore,Universal,Universal,White,TARGUS CANADA LTD.,APD007CAI,92636284701,CAD,$19.99,$12.99
NCLA1132,BELKIN ROAD ROCKSTAR CAR CHARGER,BELKIN ROAD ROCKSTAR CAR CHARGER,ND,03 - Charging,Car Adapter,USB-A,Belkin,Universal,Universal,,MICROCEL TECHNICAL SERVICES,F8M935BT06BK,7.45884E+11,CAD,$39.99,$29.99
NCLA1133,TYLT WIRELESS CAR CHARGER AND MOUNT BLK,TYLT VOITURE SANS FIL CHARGEUR NOIR,ND,03 - Charging,Wireless Charger,Stand,TYLT,Universal,Universal,Black,CESIUM TELCOM INC,VUCARGYT,7.8142E+11,CAD,$99.99,$69.99
NCLA1134,BELKIN METALLIC UNVRSL CAR CHARGER 2.4A,BELKIN ChrgeurMetallicVoiture Unvrsl2.4A,ND,03 - Charging,Car Adapter,USB-A,Belkin,Universal,Universal,Grey,MICROCEL TECHNICAL SERVICES,F8M730BTGRY,7.45884E+11,CAD,$34.99,$17.99
NCLA1135,PG EXTREME QC 30 USB CARCHRGR BLK,PG Extreme QC 30 USB ChrgVoitre Noir,ND,03 - Charging,Car Adapter,Corded Micro USB,PureGear,Universal,Micro USB,Black,SUPERIOR COMMUNICATIONS CANADA ULC,61453PG,8.12117E+11,CAD,$34.99,$24.99
NCLA1136,BELKIN USBC CAR CHARGER 15W BLACK,Belkin USBC chargeru voiture 15W noir,ND,03 - Charging,Car Adapter,Corded USB-C,Belkin,Android,Universal,Black,MICROCEL TECHNICAL SERVICES,F7U005bt04,7.45884E+11,CAD,$34.99,$23.99
NCLA1138,"Belkin QC Car Chrgr A-C cbl, 4 ft-Blk","Belkin QC vtr chrgr A-C, 4 ft-Noir",ZD,03 - Charging,Car Adapter,Corded USB-C,Belkin,Universal,USB C,Black,MICROCEL TECHNICAL SERVICES,F7U032BT04BLK,7.46E+11,CAD,$39.99,$29.99
NCLA1139,Mophie Charge Stream Vent Mount,Flux de Charge Mophie Vent Mount ,ND,03 - Charging,Car Adapter,Other,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,409901473,8.40E+11,CAD,$79.99,$79.99
NCLA2042,Belkin USBC 27W Car Adapter PD Grey,Belkin USBC 27W Car Adapter PD Grey,ZZ,03 - Charging,Car Adapter,Corded USB-C,Belkin,Universal,Universal,Grey,MICROCEL TECHNICAL SERVICES,F7U071BTGRY,7.46E+11,CAD,$44.99,$34.99
NCLA2043,Belkin BoostUp USBA 12W Car Adapter,Belkin BoostUp USBA 12W Adaptatr Voiture,ZZ,03 - Charging,Car Adapter,USB-A,Belkin,Universal,Universal,Black,MICROCEL TECHNICAL SERVICES,F8J054btBLK,7.23E+11,CAD,$24.99,$19.99
NCNH1001,BELKIN WEMO LIGHT SWITCH,COMMUTATEUR BELKIN WEMO LUMIERE,ND,05 - Connected Home,Home,Switch,Belkin,Universal,Universal,,MICROCEL TECHNICAL SERVICES,F7C030FC,7.22869E+11,CAD,$49.99,$49.99
NCNH1002,ISMARTALARM - DOOR/WINDOW SENSOR 2 PACK,ISMARTALARM CAPTEUR PORTE FENETRE PACK 2,ND,05 - Connected Home,Home,Security,iSmartAlarm,Universal,Universal,,MICROCEL TECHNICAL SERVICES,DWS3,8.58176E+11,CAD,$69.99,$34.99
NCNH1003,ISMARTALARM - MOTION SENSOR,ISMARTALARM MOTION SENSOR,ND,05 - Connected Home,Home,Security,iSmartAlarm,Universal,Universal,,MICROCEL TECHNICAL SERVICES,PIR3,8.58176E+11,CAD,$49.99,$34.99
NCNH1004,ISMARTALARM HOME SECURITY SYSTEM,ISMARTALARM SYSTEME DE SECURITE ACCUEI,ND,05 - Connected Home,Home,Security,iSmartAlarm,Universal,Universal,Red,MICROCEL TECHNICAL SERVICES,ISA3,8.58176E+11,CAD,$229.99,$114.99
NCNH1005,ISMARTALARM ICAMERA HD HOME SECURITY,ISMARTALARM ICAMERA GARDER HD SECURITE,ND,05 - Connected Home,Home,Security,iSmartAlarm,Universal,Universal,,MICROCEL TECHNICAL SERVICES,ISC3,8.58176E+11,CAD,$179.99,$89.99
NCNH1006,ISMARTALARM SMART SWITCH,ISMARTALARM SMART SWITCH,ND,05 - Connected Home,Home,Security,iSmartAlarm,Universal,Universal,,MICROCEL TECHNICAL SERVICES,SP3,8.58176E+11,CAD,$49.99,$49.99
